number,date,state,g/r,g,r,name,img,age,how,kbp_link,news_link_text
1195,"December 26, 2015(1194",IL,F/BM/B,F,BM,Bettie Jones,"""http://www.killedbypolice.net/victims/151184.jpg""","55</a><a href=""http://www.killedbypolice.net/victims/151183.jpg"">Quintonio LeGrier",GG,"""http://facebook.com/KilledByPolice/posts/1162429910451811""","""http://www.nbcchicago.com/news/local/Police-Involved-Shooting-Leaves-Two-Dead-Family-363547691.html"""
1193,"December 25, 2015",CA,M/W,M,W,William David Raff,"""http://www.killedbypolice.net/victims/151182.jpg""",31,G,"""http://facebook.com/KilledByPolice/posts/1162238467137622""","""http://www.paloaltoonline.com/news/2015/12/25/palo-alto-officer-involved-incident-near-downtown"""
1192,"December 25, 2015",MI,M/B,M,B,Terrozza Tyree Griffin,"""http://www.killedbypolice.net/victims/151181.jpg""",24,G,"""http://facebook.com/KilledByPolice/posts/1161447293883406""","""http://www.wilx.com/breaking/home/BREAKING-Officer-Involved-Shooting-in-Lansing-363517161.html"""
1191,"December 24, 2015",CA,M/L,M,L,Omar Ventura,"""http://www.killedbypolice.net/victims/151180.jpg""",23,G,"""http://facebook.com/KilledByPolice/posts/1161343340560468""","""http://abc30.com/news/porterville-man-killed-in-officer-involved-shooting/1135772/"""
1190,"December 24, 2015",LA,M  ,M,unknown,Gregory Sanders,,54,G,"""http://facebook.com/KilledByPolice/posts/1161113267250142""","""http://theadvocate.com/news/14386195-123/deputy-involved-shooting-in-zachary-east-baton-rouge-sheriffs-office-reports"""
1189,"December 24, 2015",LA,M/W,M,W,Schuylar Gunning,"""http://www.killedbypolice.net/victims/151178.jpg""",36,G,"""http://facebook.com/KilledByPolice/posts/1161063660588436""","""http://www.thenewsstar.com/story/news/2015/12/24/one-dead-officer-involved-shooting/77891274/"""
1188,"December 24, 2015",NC,M/B,M,B,Daquan Antonio Westbrook,"""http://www.killedbypolice.net/victims/151176.jpg""",18,G,"""http://facebook.com/KilledByPolice/posts/1161060497255419""","""http://www.wbtv.com/story/30827221/source-gunman-shot-and-killed-at-northlake-mall"""
1187,"December 23, 2015",MI,M/B,M,B,Kevin Matthews,"""http://www.killedbypolice.net/victims/151175.jpg""",35,G,"""http://facebook.com/KilledByPolice/posts/1160407013987434""","""http://www.freep.com/story/news/local/2015/12/23/police-dearborn-officer-involved-fatal-shooting/77834122/"""
1186,"December 22, 2015",DC,M/B,M,B,Rashad Bugg-Bey,"""http://www.killedbypolice.net/victims/151174.jpg""",25,G,"""http://facebook.com/KilledByPolice/posts/1160462723981863""","""http://www.nbcwashington.com/news/local/Stabbing-Suspect-Dies-Shot-Off-Duty-Police-Officer-Union-Station-Metro-363321761.html"""
1185,"December 22, 2015",VT,M/W,M,W,Kenneth Stephens,"""http://www.killedbypolice.net/victims/151173.jpg""",56,G,"""http://facebook.com/KilledByPolice/posts/1160255357335933""","""http://www.burlingtonfreepress.com/story/news/local/2015/12/22/burlingtion-police-dea-response/77783180/"""
1184,"December 22, 2015",KY,M/W,M,W,Charles Reynolds,,61,G,"""http://facebook.com/KilledByPolice/posts/1160252784002857""","""http://www.cincinnati.com/story/news/crime/ky-crime/2015/12/22/police-respond-officer-involved-shooting-ludlow/77784114/"""
1183,"December 22, 2015",FL,M/W,M,W,Michael U. Hilber,"""http://www.killedbypolice.net/victims/151171.jpg""",29,G,"""http://facebook.com/KilledByPolice/posts/1159869024041233""","""http://www.wtsp.com/story/news/2015/12/22/deputy-involved-shooting-brooksville/77761224/"""
1182,"December 22, 2015",NM,M/L,M,L,Jose Rodriquez,"""http://www.killedbypolice.net/victims/151170.jpg""",19,G,"""http://facebook.com/KilledByPolice/posts/1159763910718411""","""http://krqe.com/2015/12/22/apd-police-on-scene-of-officer-involved-shooting-in-southeast-albuquerque/"""
1181,"December 21, 2015",CA,M/W,M,W,Brandon E. Barsnick,"""http://www.killedbypolice.net/victims/151169.jpg""",30,G,"""http://facebook.com/KilledByPolice/posts/1160264464001689""","""http://www.appeal-democrat.com/news/yuba-county-standoff-ends-in-wanted-man-s-death/article_69705330-a921-11e5-8b90-e736902c1dcc.html"""
1180,"December 21, 2015",CO,M/B,M,B,Chan Lieth,"""http://www.killedbypolice.net/victims/151168.jpg""",25,G,"""http://facebook.com/KilledByPolice/posts/1159624914065644""","""http://www.9news.com/story/news/crime/2015/12/22/denver-officer-involved-shooting/77739292/"""
1179,"December 21, 2015",FL,M/W,M,W,Robert L. Teter,"""http://www.killedbypolice.net/victims/151167.jpg""",39,G,"""http://facebook.com/KilledByPolice/posts/1159596320735170""","""http://www.news-journalonline.com/article/20151221/NEWS/151229923?Title=At-least-1-person-shot-in-Deltona-incident-involving-taxi"""
1178,"December 21, 2015",PA,M/W,M,W,Derek DeGroat,"""http://www.killedbypolice.net/victims/151165.jpg""",21,G,"""http://facebook.com/KilledByPolice/posts/1159587460736056""","""http://wnep.com/2015/12/22/state-police-involved-deadly-shooting-in-wayne-county/"""
1177,"December 21, 2015",LA,M/B,M,B,Michael Noel,"""http://www.killedbypolice.net/victims/151164.jpg""",32,G,"""http://facebook.com/KilledByPolice/posts/1159593334068802""","""http://www.katc.com/story/30805897/update-deputy-involved-shooting-in-breaux-bridge"""
1176,"December 21, 2015",GA,M/B,M,B,Bobby Daniels,"""http://www.killedbypolice.net/victims/151163.jpg""",48,G,"""http://facebook.com/KilledByPolice/posts/1159590974069038""","""http://www.wtoc.com/story/30805321/douglas-county-deputy-shoots-kills-man"""
1175,"December 21, 2015",TX,M/L,M,L,Alfredo Barrientos,,47,T,"""http://facebook.com/KilledByPolice/posts/1159349440759858""","""http://www.lmtonline.com/front-news/article_55a2a37a-a837-11e5-af1f-1b20631b5206.html"""
1174,"December 21, 2015",CA,M/L,M,L,Guadalupe Quiroz,,34,G,"""http://facebook.com/KilledByPolice/posts/1159092907452178""","""http://www.pe.com/articles/evans-789901-police-hemet.html"""
1173,"December 20, 2015",NH,M/W,M,W,Jeffrey Hiltz,"""http://www.killedbypolice.net/victims/151160.jpg""",35,V,"""http://facebook.com/KilledByPolice/posts/1159249514103184""","""http://www.newburyportnews.com/news/danvers-man-killed-in-police-stop-stick-accident/article_25f2b5e6-a7f8-11e5-a089-8be2df7d7e32.html"""
1172,"December 20, 2015",TX,M/L,M,L,Mark Ramirez,"""http://www.killedbypolice.net/victims/151159.jpg""",31,G,"""http://facebook.com/KilledByPolice/posts/1158762364151899""","""http://www.myhighplains.com/news/top-stories/police-investigating-sunday-morning-officer-involved-shooting"""
1171,"December 20, 2015",CA,M/B,M,B,Leroy T. Browning,"""http://www.killedbypolice.net/victims/151158.jpg""",30,G,"""http://facebook.com/KilledByPolice/posts/1158548454173290""","""http://www.nbclosangeles.com/news/local/Overnight-Deputy-Involved-Shooting-in-Palmdale-363065491.html"""
1170,"December 20, 2015",CA,M/L,M,L,Ruben Jose Herrera,"""http://www.killedbypolice.net/victims/151157.jpg""",26,G,"""http://facebook.com/KilledByPolice/posts/1158465657514903""","""http://ktla.com/2015/12/19/authorities-investigating-officer-involved-shooting-at-harbor-ucla-medical-center-in-torrance/"""
1169,"December 19, 2015",CA,M/B,M,B,Roy Nelson,"""http://www.killedbypolice.net/victims/3050.jpg""",42,R,"""http://facebook.com/KilledByPolice/posts/1160367723991363""","""http://www.contracostatimes.com/breaking-news/ci_29300636/hayward-man-dies-while-police-custody"""
1168,"December 19, 2015",CA,M/W,M,W,Andrew Thomas,"""http://www.killedbypolice.net/victims/151156.jpg""",26,G,"""http://facebook.com/KilledByPolice/posts/1158571290837673""","""http://www.chicoer.com/general-news/20151219/man-shot-by-paradise-officer-dies-protest-continues"""
1167,"December 19, 2015",VA,M/B,M,B,Trevon J. Scruggs,"""http://www.killedbypolice.net/victims/151155.jpg""",24,G,"""http://facebook.com/KilledByPolice/posts/1158192380875564""","""http://www.wdbj7.com/news/local/investigators-respond-to-standoff-in-campbell-county/37045958"""
1166,"December 19, 2015",MD,M/W,M,W,Edel Cato Moreland,"""http://www.killedbypolice.net/victims/151153.jpg""",32,G,"""http://facebook.com/KilledByPolice/posts/1157997817561687""","""http://www.baltimoresun.com/news/maryland/crime/blog/bs-md-aaco-bpd-20151219-story.html"""
1165,"December 18, 2015",NM,M/L,M,L,Robert L. Martinez,"""http://www.killedbypolice.net/victims/3031.jpg""",58,G,"""http://facebook.com/KilledByPolice/posts/1158145530880249""","""http://www.taosnews.com/news/article_82c4beda-a60f-11e5-a21a-0fa6bb60ea6d.html"""
1164,"December 18, 2015",TN,M/W,M,W,Amos Frerichs,"""http://www.killedbypolice.net/victims/151152.jpg""",32,G,"""http://facebook.com/KilledByPolice/posts/1157865300908272""","""http://www.wbir.com/news/crime/deputies-on-scene-of-incident-at-west-knox-sports-store/5739063"""
1163,"December 18, 2015",OH,F/W,F,W,Erica Michelle Lauro,"""http://www.killedbypolice.net/victims/151151.jpg""",22,G,"""http://facebook.com/KilledByPolice/posts/1157354017626067""","""http://www.13abc.com/home/headlines/362908301.html"""
1162,"December 17, 2015",CA,M/W,M,W,Christopher Fletcher,"""http://www.killedbypolice.net/victims/151150.jpg""",24,G,"""http://facebook.com/KilledByPolice/posts/1157329167628552""","""http://www.modbee.com/news/local/crime/article50325910.html"""
1161,"December 17, 2015",OH,M/W,M,W,Douglas Yon,"""http://www.killedbypolice.net/victims/151149.jpg""",25,G,"""http://facebook.com/KilledByPolice/posts/1156867841008018""","""http://recordpub.com/news%20local/2015/12/17/breaking-news-man-dies-in-police-shooting-in-kent"""
1160,"December 16, 2015",CA,M/W,M,W,Bryant Neil Duncan,"""http://www.killedbypolice.net/victims/151148.jpg""",23,G,"""http://facebook.com/KilledByPolice/posts/1156583914369744""","""http://www.keyt.com/news/Authorities-Investigating-Officer-Involved-Shooting-in-Camarillo/36996636"""
1159,"December 15, 2015",WA,M/A,M,A,Shun Ma,"""http://www.killedbypolice.net/victims/151147.jpg""",64,R,"""http://facebook.com/KilledByPolice/posts/1156814644346671""","""http://www.seattletimes.com/seattle-news/crime/seattle-man-dies-after-struggle-with-police-hospitalization/"""
1158,"December 15, 2015",NC,M/B,M,B,Ronnie Dubose Carr,"""http://www.killedbypolice.net/victims/151146.jpg""",51,G,"""http://facebook.com/KilledByPolice/posts/1155934851101317""","""http://www.gastongazette.com/article/20151215/NEWS/151219462"""
1157,"December 14, 2015",VA,M/W,M,W,James Paul Bertuglia,"""http://www.killedbypolice.net/victims/30892.jpg""",40,TR,"""http://facebook.com/KilledByPolice/posts/1188756617819140""","""http://www.newsadvance.com/news/local/warrant-officers-deployed-tasers/article_a9e916f0-0dd3-5924-8cd7-60acc94506df.html"""
1156,"December 14, 2015",CA,M/L,M,L,Hector Alvarez,"""http://www.killedbypolice.net/victims/151144.jpg""",19,G,"""http://facebook.com/KilledByPolice/posts/1155864097775059""","""http://sanfrancisco.cbslocal.com/2015/12/15/gilroy-police-fatal-shooting-domestic-violence-suspect/"""
1155,"December 14, 2015",WV,M/W,M,W,Mark Toney,"""http://www.killedbypolice.net/victims/151143.jpg""",33,G,"""http://facebook.com/KilledByPolice/posts/1155823581112444""","""http://www.wowktv.com/story/30752224/man-killed-in-mount-hope-officer-involved-shooting"""
1154,"December 14, 2015",CA,M/A,M,A,Mharloun Verdejo Saycon,"""http://www.killedbypolice.net/victims/151142.jpg""",39,G,"""http://facebook.com/KilledByPolice/posts/1155821137779355""","""http://ktla.com/2015/12/15/knife-wielding-male-fatally-shot-by-long-beach-police-authorities-say/"""
1153,"December 14, 2015",NV,M/L,M,L,Roberto Ortiz Sanchez,"""http://www.killedbypolice.net/victims/151141.jpg""",45,G,"""http://facebook.com/KilledByPolice/posts/1155827287778740""","""http://www.ktnv.com/news/officer-shoots-suspect-in-northeast-valley"""
1152,"December 14, 2015",NV,F/W,F,W,Brenda Dean Kimberling,"""http://www.killedbypolice.net/victims/151140.jpg""",48,G,"""http://facebook.com/KilledByPolice/posts/1155536594474476""","""http://www.reviewjournal.com/news/las-vegas/woman-shot-and-killed-police-northeast-valley-barricade"""
1151,"December 14, 2015",TN,M/W,M,W,Michael Thomason,"""http://www.killedbypolice.net/victims/151139.jpg""",56,G,"""http://facebook.com/KilledByPolice/posts/1155398447821624""","""http://www.jacksonsun.com/story/news/crime/2015/12/14/suspect-gibson-co-homicide-dead/77282334/"""
1150,"December 14, 2015",CO,M/L,M,L,Enrique Gonzalez,,32,G,"""http://facebook.com/KilledByPolice/posts/1155301764497959""","""http://www.denverpost.com/news/ci_29248389/mountain-view-officer-routine-leave-after-shooting-man"""
1149,"December 14, 2015",MD,M/W,M,W,Jeffrey Gene Evans,"""http://www.killedbypolice.net/victims/151137.jpg""",52,G,"""http://facebook.com/KilledByPolice/posts/1155299664498169""","""http://www.wbaltv.com/news/police-man-shot-by-officers-in-bowleys-quarters-dies/36955372"""
1148,"December 14, 2015",LA,M/B,M,B,Calvin McKinnis,"""http://www.killedbypolice.net/victims/151136.jpg""",33,G,"""http://facebook.com/KilledByPolice/posts/1155221327839336""","""http://www.nola.com/crime/index.ssf/2015/12/nopd_involved_in_east_new_orle.html#incart_m-rpt-1"""
1147,"December 13, 2015",WA,M/PI,M,PI,Nephi Leiataua,"""http://www.killedbypolice.net/victims/151135.jpg""",30,G,"""http://facebook.com/KilledByPolice/posts/1155196211175181""","""http://www.komonews.com/news/local/Man-holds-3-year-old-daughter-hostage-in-rural-Thurston-County-361751571.html"""
1146,"December 13, 2015",TX,F/W,F,W,Shirley Weis,"""http://www.killedbypolice.net/victims/151134.jpg""",51,G,"""http://facebook.com/KilledByPolice/posts/1154936577867811""","""http://www.star-telegram.com/news/local/community/arlington/article49578020.html"""
1145,"December 13, 2015",TX,M/W,M,W,Ryan McMillan,"""http://www.killedbypolice.net/victims/151133.jpg""",21,G,"""http://facebook.com/KilledByPolice/posts/1154701984557937""","""http://www.nbcdfw.com/news/local/Man-Dead-After-UNT-Police-Officer-Involved-Shooting-361707321.html"""
1144,"December 12, 2015",PA,M/W,M,W,Andrew Joseph Todd,"""http://www.killedbypolice.net/victims/151132.jpg""",20,G,"""http://facebook.com/KilledByPolice/posts/1154707671224035""","""http://www.poconorecord.com/article/20151212/NEWS/151219795"""
1143,"December 12, 2015",CO,M  ,M,unknown,unknown,unknown,unknown,G,"""http://facebook.com/KilledByPolice/posts/1154703074557828""","""http://www.denverpost.com/news/ci_29243665/aurora-police-report-officer-involved-shooting"""
1142,"December 12, 2015",CA,M/L,M,L,Roy Carreon,,49,G,"""http://facebook.com/KilledByPolice/posts/1154487814579354""","""http://www.sbsun.com/general-news/20151212/knife-wielding-man-shot-killed-by-san-bernardino-police"""
1141,"December 12, 2015",OK,M/W,M,W,Jonathan Wardlow,"""http://www.killedbypolice.net/victims/151129.jpg""",36,G,"""http://facebook.com/KilledByPolice/posts/1154429271251875""","""http://www.kxii.com/home/headlines/Officer-involved-shooting-in-Healdton-361681811.html"""
1140,"December 12, 2015",CA,M/B,M,B,Nicholas Robertson,"""http://www.killedbypolice.net/victims/151128.jpg""",28,G,"""http://facebook.com/KilledByPolice/posts/1154417567919712""","""http://abc7.com/news/suspect-killed-in-lynwood-deputy-involved-shooting/1120214/"""
1139,"December 12, 2015",TN,M/B,M,B,Javario Shante Eagle,"""http://www.killedbypolice.net/victims/151127.jpg""",24,G,"""http://facebook.com/KilledByPolice/posts/1154391051255697""","""http://www.chattanoogan.com/2015/12/12/314265/Chattanooga-Police-Officer-Shoots-And.aspx"""
1138,"December 12, 2015",IN,M/B,M,B,Christopher Goodlow,"""http://www.killedbypolice.net/victims/151126.jpg""",25,G,"""http://facebook.com/KilledByPolice/posts/1154309541263848""","""http://www.indystar.com/story/news/2015/12/12/indianapolis-officer-involved-shooting/77204698/"""
1137,"December 12, 2015",AZ,M/W,M,W,Steven Wickert,"""http://www.killedbypolice.net/victims/151125.jpg""",36,G,"""http://facebook.com/KilledByPolice/posts/1154301217931347""","""http://tucson.com/news/blogs/police-beat/man-killed-in-officer-involved-shooting-at-tucson-resort/article_d7a54926-a0e5-11e5-a682-b779990c9860.html"""
1136,"December 10, 2015",WA,M/W,M,W,Christopher Sean Harris,"""http://www.killedbypolice.net/victims/151122.jpg""",36,R,"""http://facebook.com/KilledByPolice/posts/1153920687969400""","""http://www.seattletimes.com/seattle-news/crime/man-dies-6-years-after-he-was-slammed-into-wall-by-deputy-disabled/"""
1135,"December 10, 2015",CA,M/W,M,W,Thomas Arthur Gendreau Jr.,"""http://www.killedbypolice.net/victims/151121.jpg""",54,G,"""http://facebook.com/KilledByPolice/posts/1153642584663877""","""http://www.kionrightnow.com/news/local-news/deadly-officerinvolved-shooting-in-marina-thursday-night/36909768"""
1134,"December 10, 2015",CA,M  ,M,unknown,unknown,unknown,unknown,G,"""http://facebook.com/KilledByPolice/posts/1153360164692119""","""http://abc7.com/news/suspect-killed-in-hemet-officer-involved-shooting/1117602/"""
1133,"December 10, 2015",IN,M/W,M,W,Jason Bryant,"""http://www.killedbypolice.net/victims/151119.jpg""",34,G,"""http://facebook.com/KilledByPolice/posts/1153336078027861""","""http://www.indystar.com/story/news/crime/2015/12/10/suspect-shot-police-southwestside/77082704/"""
1132,"December 10, 2015",SC,M/B,M,B,Charles Edward Rosemond Sr.,"""http://www.killedbypolice.net/victims/151118.jpg""",55,G,"""http://facebook.com/KilledByPolice/posts/1153139241380878""","""http://www.greenvilleonline.com/story/news/2015/12/10/sled-man-shot-deputy-greenville-county/77082892/"""
1131,"December 9, 2015",NC,M/B,M,B,Travis Nevelle Page,"""http://www.killedbypolice.net/victims/151117.jpg""",31,CR,"""http://facebook.com/KilledByPolice/posts/1153201894707946""","""http://www.wfmynews2.com/story/news/local/2015/12/10/wspd-4-officers-administrative-duty-after-man-dies-custody/77082064/"""
1130,"December 9, 2015",OK,M/W,M,W,Sammy Monroe Echols Jr.,"""http://www.killedbypolice.net/victims/151116.jpg""",51,G,"""http://facebook.com/KilledByPolice/posts/1152958224732313""","""http://www.koco.com/news/osbi-investigates-fatal-officerinvolved-shooting-in-mayes-county/36897064"""
1129,"December 9, 2015",KY,M/W,M,W,Christopher E. Higdon,"""http://www.killedbypolice.net/victims/151115.jpg""",66,G,"""http://facebook.com/KilledByPolice/posts/1152859994742136""","""http://www.wdrb.com/story/30708945/kentucky-state-police-say-officer-shoots-and-kills-suspect-in-grayson-county"""
1128,"December 9, 2015",OH,M/B,M,B,Derek Stokes,"""http://www.killedbypolice.net/victims/151114.jpg""",33,G,"""http://facebook.com/KilledByPolice/posts/1152743944753741""","""http://www.newsnet5.com/news/local-news/cleveland-metro/breaking-officer-involved-shooting-near-cleveland-justice-center"""
1127,"December 9, 2015",FL,M/B,M,B,Dimitrie L. Penny,"""http://www.killedbypolice.net/victims/151112.jpg""",32,G,"""http://facebook.com/KilledByPolice/posts/1152682904759845""","""http://www.tallahassee.com/story/news/2015/12/09/two-killed-two-injured-shooting-tallahassee-restaurant/77027102/"""
1126,"December 8, 2015",CA,M/L,M,L,Juan Fidel Castro Jr.,"""http://www.killedbypolice.net/victims/3000.jpg""",34,R,"""http://facebook.com/KilledByPolice/posts/1154231701271632""","""http://www.kerngoldenempire.com/news/local-man-dies-while-in-sheriffs-custody-wife-wants-answers"""
1125,"December 8, 2015",PR,M/L,M,L,Jeremías José Fred,,34,TR,"""http://facebook.com/KilledByPolice/posts/1152837118077757""","""http://www.noticel.com/noticia/184223/muere-hombre-electrocutado-a-manos-de-la-policia.html"""
1124,"December 8, 2015",MO,M/W,M,W,Nicholas Gilbert,"""http://www.killedbypolice.net/victims/151111.jpg""",27,R,"""http://facebook.com/KilledByPolice/posts/1152734798087989""","""http://www.kmov.com/story/30701383/man-27-dies-in-police-custody-in-st-louis-city"""
1123,"December 8, 2015",NY,M/B,M,B,Miquel Espinal,"""http://www.killedbypolice.net/victims/151110.jpg""",36,G,"""http://facebook.com/KilledByPolice/posts/1152364124791723""","""http://abc7ny.com/news/suspect-shot-and-killed-after-nypd-pursuit-ends-in-crash-closes-saw-mill-river-parkway/1114221/"""
1122,"December 7, 2015",NY,M/B,M,B,Devon Holder,,30,G,"""http://facebook.com/KilledByPolice/posts/1152211604806975""","""http://www.nytimes.com/2015/12/08/nyregion/man-is-fatally-shot-by-police-after-a-robbery-attempt-in-queens.html?_r=1"""
1121,"December 6, 2015",WY,M/W,M,W,John Alan Britton,"""http://www.killedbypolice.net/victims/151108.jpg""",48,G,"""http://facebook.com/KilledByPolice/posts/1152182418143227""","""http://trib.com/news/local/crime-and-courts/suicidal-man-shot-and-killed-by-sheriff-s-deputies-at/article_62eec2e8-2275-5d2a-9c06-359a2ba16200.html"""
1120,"December 6, 2015",OH,M/B,M,B,Carlumandarlo Zaramo,"""http://www.killedbypolice.net/victims/151106.jpg""",46,G,"""http://facebook.com/KilledByPolice/posts/1151642014863934""","""http://www.cleveland.com/metro/index.ssf/2015/12/police_officer_suspect_injured.html"""
1119,"December 6, 2015",WA,M/W,M,W,Raymond Azevedo,"""http://www.killedbypolice.net/victims/151105.jpg""",35,G,"""http://facebook.com/KilledByPolice/posts/1151627594865376""","""http://www.seattletimes.com/seattle-news/shots-fired-following-car-jacking-suspect-reported-down/"""
1118,"December 5, 2015",CA,M/W,M,W,,,30s,R,"""http://facebook.com/KilledByPolice/posts/1151638488197620""","""http://timesofsandiego.com/crime/2015/12/06/naked-man-dies-after-resisting-arrest-in-a-mission-valley-motel-room/"""
1117,"December 5, 2015",CA,M/L,M,L,Juan Perez,,38,G,"""http://facebook.com/KilledByPolice/posts/1151317841563018""","""http://www.kesq.com/news/suspect-dies-in-officer-involved-shooting-near-indio-church/36814580"""
1116,"December 5, 2015",MO,F/W,F,W,Sheilah Huck,"""http://www.killedbypolice.net/victims/151102.jpg""",61,G,"""http://facebook.com/KilledByPolice/posts/1151298834898252""","""http://www.stltoday.com/news/local/crime-and-courts/st-louis-county-police-fatally-shoot-woman-after-armed-standoff/article_0aec85bd-0d3a-5ed8-b1d4-a382d41aa68b.html"""
1115,"December 5, 2015",WI,M/W,M,W,Michael L. Funk,"""http://www.killedbypolice.net/victims/151101.jpg""",60,G,"""http://facebook.com/KilledByPolice/posts/1151095198251949""","""http://www.nbc26.com/news/neenah-police-respond-to-high-risk-hostage-situation"""
1114,"December 5, 2015",FL,M/W,M,W,David W. Winesett,"""http://www.killedbypolice.net/victims/151100.jpg""",51,G,"""http://facebook.com/KilledByPolice/posts/1150996508261818""","""http://www.miamiherald.com/news/local/community/miami-dade/miami-beach/article48175540.html"""
1113,"December 5, 2015",TX,M/W,M,W,Colten Price Marcellus,"""http://www.killedbypolice.net/victims/151099.jpg""",24,G,"""http://facebook.com/KilledByPolice/posts/1150914184936717""","""http://crimeblog.dallasnews.com/2015/12/irving-police-fatally-shoot-home-invasion-suspect-two-others-taken-into-custody.html/"""
1112,"December 4, 2015",CA,F/W,F,W,Kelsey Dresser,"""http://www.killedbypolice.net/victims/3001.jpg""",23,V,"""http://facebook.com/KilledByPolice/posts/1154283291266473""","""http://www.latimes.com/local/lanow/la-me-ln-usc-student-killed-crash-campus-police-cruiser-lapd-20151211-story.html"""
1111,"December 4, 2015",PA,M/B,M,B,Raymone Davis,,21,G,"""http://facebook.com/KilledByPolice/posts/1150814068280062""","""http://triblive.com/news/allegheny/9567852-74/robbery-bank-police#axzz3tS0qx6zx"""
1110,"December 3, 2015",OH,M/W,M,W,Jason Brady,"""http://www.killedbypolice.net/victims/151097.jpg""",40,G,"""http://facebook.com/KilledByPolice/posts/1150392961655506""","""http://www.newswatchman.com/news/article_638809c9-6354-55d9-93b8-7fb6f37d7936.html"""
1109,"December 3, 2015",AZ,M/W,M,W,Ivan Krstic,"""http://www.killedbypolice.net/victims/151095.jpg""",47,G,"""http://facebook.com/KilledByPolice/posts/1150400398321429""","""http://www.abc15.com/news/region-southeast-valley/mesa/pd-suspect-hospitalized-after-officer-involved-shooting-in-mesa"""
1108,"December 3, 2015",NE,M/W,M,W,Neil Scott Stretesky,"""http://www.killedbypolice.net/victims/151094.jpg""",66,G,"""http://facebook.com/KilledByPolice/posts/1150186178342851""","""http://www.omaha.com/news/nebraska/man-killed-deputy-seriously-injured-while-serving-warrants-in-western/article_c37da5ea-e0b9-584a-9676-3c520b97ed5f.html"""
1107,"December 2, 2015",NM,M/L,M,L,Florencio Lucero,"""http://www.killedbypolice.net/victims/151093.jpg""",36,G,"""http://facebook.com/KilledByPolice/posts/1150094941685308""","""http://www.koat.com/news/deming-police-shoot-kill-suspect-in-fatal-domestic-shooting/36778416"""
